74012,Plastic Cavalry Bases (6),4.99,01/31/03,Base
74015,1" Square Plastic Base| Universal Slot (12),4.99,01/31/03,Base
74023,30mm Round Plastic Display Base (12),4.99,04/30/15,Base
74024,40mm Square Plastic Base (10),4.99,04/30/15,Base
74025,Graveyard Vignette Base (resin base),11.29,09/17/12,Base
74026,Treasure Hoard Vignette Base(resin base),11.29,10/01/12,Base
74027,Ruins Vignette Base (resin base),11.29,11/26/12,Base
74028,2 Inch Square Plastic Gaming Base (10),4.99,04/30/15,Base
74029,1inch Hex Plastic Gaming Base (20),5.99,04/30/15,Base
74030,45mm Round Plastic Display Base (10),4.99,07/15/15,Base
74031,60mm Round Plastic Display Base (10),4.99,07/15/15,Base
74032,1" Round Plastic Gaming Base (20),4.99,04/30/15,Base
74033,40mm Round Plastic Gaming Base (10),4.99,04/30/15,Base
74034,60mm Round Plastic Gaming Base (10),5.99,04/30/15,Base
74035,1" Round Plastic RPG Base (20),4.99,04/30/15,Base
74036,2" Round Plastic RPG Base (10),4.99,04/30/15,Base
74037,3" Round Plastic RPG Base (10),5.99,04/30/15,Base
74038,1" Square Plastic Flat Top Base (20),4.99,07/15/15,Base
74039,1" Square Plastic Gaming Base (no slot) (20),4.99,04/30/15,Base
74040,20mm Square Plastic Flat Top Base (25),4.99,07/15/15,Base
74041,20mm Round Plastic Flat Top Base (25),4.99,07/15/15,Base
74042,Graveyard Display Base,12.99,03/15/15,Base
74043,1 Inch Black Slotted Hex Gaming Base (20),5.99,07/18/16,Base
74044,2 Inch Round Transparent Flight Stand w/ Tall Flight Peg (5 bases| 5 pegs),5.99,07/18/16,Base
74045,1 Inch Transparent Slotted Hex w/ Short Hover Peg (10 bases| 10 pegs),5.99,07/18/16,Base
74046,Transparent Tall Flight Pegs (25),4.99,07/18/16,Base
74047,Transparent Short Hover Pegs (25),4.99,07/18/16,Base
74048,32mm Round Gaming Base (10),4.99,08/21/17,Base
74049,50mm Round Gaming Base (10),4.99,08/21/17,Base
74050,55mm Round Gaming Base (10,5.99,08/21/17,Base
74056,Single 1inch Plastic Square Base,0.42,NULL,Base
74057,Single Round 30mm Plastic Base,0.42,NULL,Base
74058,Single 40mm Plastic Square Base,0.84,NULL,Base
